T,min_dir_prob,min_sell_dir_prob,min_edge_ratio,cal_n_act,cal_n_buy,cal_n_sell,cal_coverage,cal_hit_rate,cal_expectancy_pct,cal_win_rate,cal_sharpe,oos_n_act,oos_n_buy,oos_n_sell,oos_coverage,oos_hit_rate,oos_expectancy_pct,oos_win_rate,oos_sharpe
0.6000,0.5000,0.5000,3.0000,1332,734,598,0.2329,0.4159,-0.1899,0.3416,-3.7279,3191,1660,1531,0.2391,0.3949,-0.2139,0.3272,-4.0475
0.6000,0.5000,0.5000,4.0000,885,472,413,0.1547,0.4169,-0.2091,0.3299,-3.8261,2106,1098,1008,0.1578,0.4046,-0.1943,0.3428,-3.6311
0.6000,0.5000,0.5000,5.0000,576,323,253,0.1007,0.4236,-0.2061,0.3420,-3.7947,1270,677,593,0.0952,0.4150,-0.1830,0.3528,-3.2174
0.6000,0.5000,0.5000,6.0000,329,200,129,0.0575,0.3830,-0.2259,0.3343,-3.9394,722,425,297,0.0541,0.4030,-0.1958,0.3518,-3.3976
0.6000,0.5000,0.5000,7.0000,182,126,56,0.0318,0.3901,-0.2061,0.3407,-3.3686,434,281,153,0.0325,0.3940,-0.2170,0.3641,-3.4091
0.6000,0.5000,0.5000,8.0000,107,89,18,0.0187,0.4393,-0.2047,0.3551,-3.0655,244,172,72,0.0183,0.4262,-0.1495,0.3975,-2.1419
0.6000,0.5200,0.4800,3.0000,1334,727,607,0.2332,0.4175,-0.1841,0.3448,-3.6257,3181,1646,1535,0.2383,0.3952,-0.2148,0.3269,-4.0786
0.6000,0.5200,0.4800,4.0000,886,469,417,0.1549,0.4176,-0.2051,0.3318,-3.7634,2102,1092,1010,0.1575,0.4053,-0.1957,0.3425,-3.6712
0.6000,0.5200,0.4800,5.0000,578,322,256,0.1010,0.4221,-0.2043,0.3426,-3.7887,1270,676,594,0.0952,0.4150,-0.1826,0.3528,-3.2105
0.6000,0.5200,0.4800,6.0000,331,200,131,0.0579,0.3807,-0.2253,0.3353,-3.9402,722,424,298,0.0541,0.4030,-0.1951,0.3518,-3.3856
0.6000,0.5200,0.4800,7.0000,183,126,57,0.0320,0.3880,-0.2069,0.3388,-3.3907,435,281,154,0.0326,0.3931,-0.2172,0.3632,-3.4154
0.6000,0.5200,0.4800,8.0000,108,89,19,0.0189,0.4352,-0.2061,0.3519,-3.1000,245,172,73,0.0184,0.4245,-0.1500,0.3959,-2.1541
0.6000,0.5400,0.4600,3.0000,1335,719,616,0.2334,0.4202,-0.1795,0.3453,-3.5544,3167,1629,1538,0.2373,0.3960,-0.2154,0.3268,-4.1021
0.6000,0.5400,0.4600,4.0000,887,463,424,0.1551,0.4205,-0.1997,0.3326,-3.6895,2100,1087,1013,0.1573,0.4057,-0.1971,0.3419,-3.6978
0.6000,0.5400,0.4600,5.0000,578,318,260,0.1010,0.4256,-0.1957,0.3443,-3.6655,1270,673,597,0.0952,0.4150,-0.1858,0.3512,-3.2669
0.6000,0.5400,0.4600,6.0000,330,197,133,0.0577,0.3879,-0.2154,0.3394,-3.8065,723,423,300,0.0542,0.4039,-0.1964,0.3513,-3.4080
0.6000,0.5400,0.4600,7.0000,183,124,59,0.0320,0.3989,-0.1906,0.3443,-3.1832,437,281,156,0.0327,0.3936,-0.2202,0.3616,-3.4666
0.6000,0.5400,0.4600,8.0000,108,88,20,0.0189,0.4444,-0.2082,0.3519,-3.1300,247,172,75,0.0185,0.4251,-0.1559,0.3927,-2.2433
0.6000,0.5600,0.4400,3.0000,1329,712,617,0.2323,0.4214,-0.1795,0.3461,-3.5486,3152,1608,1544,0.2362,0.3956,-0.2164,0.3274,-4.1353
